Type,Name,City,State,Country,Size_m2,Focus,Battery_Cell_Production,Open_Year,notes,Latitude,Longitude
Gigafactory,Giga Nevada,Sparks,Nevada,USA,500000,"Battery packs, drivetrains, Powerwalls",Yes,2016,none,39.5349,-119.7527
Gigafactory,Giga Shanghai,Shanghai,,China,864000,"Model 3/Y, battery packs",No,2019,cells from CATL/LG,31.2304,121.4737
Gigafactory,Giga Berlin,Grünheide,Brandenburg,Germany,730000,"Model Y, 4680 battery cells",Yes,2022,ramping battery production,52.4044,13.7843
Gigafactory,Giga Texas,Austin,Texas,USA,930000,"Model Y, Cybertruck, 4680 battery cells",Yes,2022,none,30.2672,-97.7431
Gigafactory,Giga Mexico,Monterrey area,Nuevo León,Mexico,,"Model 2/compact car, likely battery production",No,2026,planned battery production,25.6866,-100.3161
Battery Factory,Giga Nevada (Panasonic JV),Sparks,Nevada,USA,500000,"Battery cells (2170), packs",Yes,2016,none,39.5349,-119.7527
Megafactory,Lathrop Megafactory,Lathrop,California,USA,186000,"Megapack production (grid-scale batteries)",No,2022,none,37.8167,-121.2711
Megafactory,Shanghai Megafactory,Shanghai,,China,,"Megapack production (Asia-Pacific)",No,2025,unopened,31.2304,121.4737
Battery Factory,Markham Equipment Factory,Markham,Ontario,Canada,9300,"R&D and equipment for 4680 cell lines",No,2021,none,43.8561,-79.3370
Battery Factory,Giga Berlin Battery Plant,Grünheide,Brandenburg,Germany,730000,"4680 battery cell manufacturing",Yes,2023,ramping battery production,52.4044,13.7843
Battery Factory,Giga Texas Battery Lines,Austin,Texas,USA,930000,"4680 battery cell manufacturing",Yes,2022,none,30.2672,-97.7431
